MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,001000;0,600000;50;TRUE;1000;1,000000;1000,000000;13803,800000
0,001000;0,500000;50;TRUE;1000;1,000000;1000,000000;14764,700000
0,000500;0,500000;50;TRUE;1000;1,000000;1000,000000;15678,600000
0,000500;0,600000;50;TRUE;1000;1,000000;1000,000000;15711,000000
0,000500;0,500000;50;TRUE;2000;1,000000;2000,000000;30176,400000
0,000500;0,600000;50;TRUE;2000;1,000000;2000,000000;33014,500000
0,001000;0,500000;50;TRUE;2000;1,000000;2000,000000;38441,100000
0,001000;0,600000;50;TRUE;2000;1,000000;2000,000000;38560,800000
0,000500;0,500000;50;TRUE;3000;1,000000;3000,000000;53946,900000
0,000500;0,600000;50;TRUE;3000;1,000000;3000,000000;55819,900000
0,000000;0,500000;50;TRUE;1000;0,000000;550,300000;0,000000
0,000000;0,600000;50;TRUE;1000;0,000000;562,900000;0,000000
0,001000;0,600000;50;TRUE;3000;1,000000;3000,000000;110865,200000
0,001000;0,500000;50;TRUE;3000;1,000000;3000,000000;114848,700000
0,000000;0,500000;50;TRUE;2000;0,000000;1077,600000;0,000000
0,000000;0,600000;50;TRUE;2000;0,000000;1077,800000;0,000000
0,000000;0,500000;50;TRUE;3000;0,000000;1583,600000;0,000000
0,000000;0,600000;50;TRUE;3000;0,000000;1598,900000;0,000000
