MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,000500;0,500000;50;TRUE;1000;1,000000;1000,000000;15816,800000
0,000500;0,600000;50;TRUE;1000;1,000000;1000,000000;16667,500000
0,000100;0,600000;50;TRUE;1000;1,000000;1000,000000;41007,100000
0,000100;0,500000;50;TRUE;1000;1,000000;1000,000000;46550,100000
0,000500;0,600000;50;TRUE;2000;1,000000;2000,000000;31697,000000
0,000500;0,500000;50;TRUE;2000;1,000000;2000,000000;33247,700000
0,000100;0,600000;50;TRUE;2000;1,000000;2000,000000;56284,300000
0,000100;0,500000;50;TRUE;2000;1,000000;2000,000000;61482,500000
0,000500;0,600000;50;TRUE;3000;1,000000;3000,000000;50420,200000
0,000500;0,500000;50;TRUE;3000;1,000000;3000,000000;53091,900000
0,000100;0,600000;50;TRUE;3000;1,000000;3000,000000;67398,800000
0,000100;0,500000;50;TRUE;3000;1,000000;3000,000000;69468,000000
