MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,000500;0,700000;50;FALSE;30;1,000000;30,000000;3740,000000
0,000500;0,700000;50;TRUE;30;1,000000;30,000000;3040,000000
0,000500;0,800000;50;FALSE;30;1,000000;30,000000;1683,000000
0,000500;0,800000;50;TRUE;30;1,000000;30,000000;3624,000000
0,000500;0,600000;50;TRUE;30;1,000000;30,000000;1911,000000
0,000500;0,600000;50;FALSE;30;1,000000;30,000000;1387,000000
0,000500;0,500000;50;FALSE;30;1,000000;30,000000;1622,000000
0,000500;0,500000;50;TRUE;30;1,000000;30,000000;3305,000000
0,000500;0,900000;50;FALSE;30;1,000000;30,000000;1768,000000
0,000500;0,900000;50;TRUE;30;1,000000;30,000000;2763,000000
0,000500;0,700000;50;TRUE;230;1,000000;230,000000;5095,000000
0,000500;0,500000;50;TRUE;230;1,000000;230,000000;4920,000000
0,000500;0,900000;50;TRUE;230;1,000000;230,000000;5147,000000
0,000500;0,900000;50;FALSE;230;1,000000;230,000000;7751,000000
0,000500;0,600000;50;FALSE;230;1,000000;230,000000;8350,000000
0,000500;0,800000;50;TRUE;230;1,000000;230,000000;3984,000000
0,000500;0,500000;50;FALSE;230;1,000000;230,000000;6948,000000
0,000500;0,800000;50;FALSE;230;1,000000;230,000000;10913,000000
0,000500;0,500000;50;FALSE;430;1,000000;430,000000;7851,000000
0,000500;0,900000;50;TRUE;430;1,000000;430,000000;7989,000000
0,000500;0,600000;50;TRUE;230;1,000000;230,000000;5654,000000
0,000500;0,700000;50;FALSE;230;1,000000;230,000000;6344,000000
0,000500;0,600000;50;TRUE;430;1,000000;430,000000;7870,000000
0,000500;0,700000;50;TRUE;430;1,000000;430,000000;8416,000000
0,000500;0,500000;50;TRUE;430;1,000000;430,000000;10271,000000
0,000500;0,600000;50;FALSE;630;1,000000;630,000000;11699,000000
0,000500;0,800000;50;FALSE;630;1,000000;630,000000;10706,000000
0,000500;0,500000;50;FALSE;630;1,000000;630,000000;11856,000000
0,000500;0,900000;50;FALSE;430;1,000000;430,000000;8655,000000
0,000500;0,700000;50;FALSE;430;1,000000;430,000000;8889,000000
0,000500;0,900000;50;FALSE;830;1,000000;830,000000;11724,000000
0,000500;0,600000;50;TRUE;630;1,000000;630,000000;11396,000000
0,000500;0,900000;50;FALSE;630;1,000000;630,000000;13304,000000
0,000500;0,800000;50;FALSE;430;1,000000;430,000000;8422,000000
0,000500;0,500000;50;TRUE;830;1,000000;830,000000;13416,000000
0,000500;0,500000;50;TRUE;630;1,000000;630,000000;12483,000000
0,000500;0,600000;50;TRUE;830;1,000000;830,000000;14339,000000
0,000500;0,600000;50;FALSE;430;1,000000;430,000000;7971,000000
0,000500;0,700000;50;TRUE;630;1,000000;630,000000;9435,000000
0,000500;0,900000;50;TRUE;630;1,000000;630,000000;10512,000000
0,000500;0,700000;50;FALSE;830;1,000000;830,000000;16540,000000
0,000500;0,800000;50;TRUE;430;1,000000;430,000000;8922,000000
0,000500;0,700000;50;TRUE;830;1,000000;830,000000;13023,000000
0,000500;0,500000;50;FALSE;830;1,000000;830,000000;15205,000000
0,000500;0,800000;50;FALSE;1030;1,000000;1030,000000;15760,000000
0,000500;0,600000;50;FALSE;830;1,000000;830,000000;15484,000000
0,000500;0,800000;50;TRUE;1230;1,000000;1230,000000;16646,000000
0,000500;0,900000;50;TRUE;830;1,000000;830,000000;11992,000000
0,000500;0,800000;50;TRUE;830;1,000000;830,000000;12228,000000
0,000500;0,800000;50;TRUE;630;1,000000;630,000000;12827,000000
0,000500;0,600000;50;TRUE;1230;1,000000;1230,000000;17152,000000
0,000500;0,800000;50;FALSE;1230;1,000000;1230,000000;18415,000000
0,000500;0,800000;50;FALSE;830;1,000000;830,000000;14409,000000
0,000500;0,700000;50;FALSE;630;1,000000;630,000000;15658,000000
0,000500;0,600000;50;FALSE;1230;1,000000;1230,000000;20306,000000
0,000500;0,500000;50;FALSE;1030;1,000000;1030,000000;15611,000000
0,000500;0,900000;50;TRUE;1230;1,000000;1230,000000;18723,000000
0,000500;0,900000;50;FALSE;1230;1,000000;1230,000000;18575,000000
0,000500;0,700000;50;FALSE;1230;1,000000;1230,000000;20342,000000
0,000500;0,700000;50;TRUE;1230;1,000000;1230,000000;21938,000000
0,000500;0,900000;50;FALSE;1030;1,000000;1030,000000;15422,000000
0,000500;0,700000;50;TRUE;1030;1,000000;1030,000000;16313,000000
0,000500;0,500000;50;TRUE;1030;1,000000;1030,000000;17413,000000
0,000500;0,500000;50;FALSE;1230;1,000000;1230,000000;19912,000000
0,000500;0,900000;50;TRUE;1030;1,000000;1030,000000;15402,000000
0,000500;0,600000;50;FALSE;1030;1,000000;1030,000000;19579,000000
0,000500;0,600000;50;TRUE;1030;1,000000;1030,000000;18477,000000
0,000500;0,800000;50;TRUE;1030;1,000000;1030,000000;20335,000000
0,000500;0,700000;50;FALSE;1030;1,000000;1030,000000;21349,000000
0,000500;0,500000;50;TRUE;1230;1,000000;1230,000000;17302,000000
