MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,000500;0,400000;50;TRUE;30;1,000000;30,000000;3108,000000
0,000500;0,300000;50;FALSE;30;1,000000;30,000000;2672,000000
0,000500;0,950000;50;TRUE;30;1,000000;30,000000;3384,000000
0,000500;0,300000;50;TRUE;30;1,000000;30,000000;2913,000000
0,000500;0,900000;50;TRUE;30;1,000000;30,000000;3081,000000
0,000500;0,900000;50;FALSE;30;1,000000;30,000000;3891,000000
0,000500;0,400000;50;FALSE;30;1,000000;30,000000;891,000000
0,000500;0,990000;50;TRUE;30;1,000000;30,000000;3849,000000
0,000500;1,000000;50;FALSE;30;1,000000;30,000000;3852,000000
0,000500;0,950000;50;FALSE;30;1,000000;30,000000;3784,000000
0,000500;0,990000;50;FALSE;30;1,000000;30,000000;1447,000000
0,000500;1,000000;50;TRUE;30;1,000000;30,000000;2217,000000
0,000500;1,000000;50;FALSE;230;1,000000;230,000000;4550,000000
0,000500;0,950000;50;TRUE;230;1,000000;230,000000;6086,000000
0,000500;0,400000;50;TRUE;230;1,000000;230,000000;6923,000000
0,000500;0,300000;50;TRUE;230;1,000000;230,000000;6226,000000
0,000500;0,900000;50;TRUE;230;1,000000;230,000000;5697,000000
0,000500;0,990000;50;TRUE;230;1,000000;230,000000;5995,000000
0,000500;0,300000;50;FALSE;230;1,000000;230,000000;5876,000000
0,000500;0,900000;50;FALSE;230;1,000000;230,000000;5417,000000
0,000500;0,950000;50;FALSE;230;1,000000;230,000000;6188,000000
0,000500;0,990000;50;TRUE;430;1,000000;430,000000;7430,000000
0,000500;0,300000;50;FALSE;430;1,000000;430,000000;9484,000000
0,000500;0,400000;50;FALSE;230;1,000000;230,000000;7723,000000
0,000500;0,900000;50;FALSE;430;1,000000;430,000000;8966,000000
0,000500;0,300000;50;FALSE;630;1,000000;630,000000;11898,000000
