MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,010000;0,700000;40;TRUE;180;1,000000;180,000000;2190,600000
0,010000;0,700000;40;FALSE;180;1,000000;180,000000;2146,400000
0,010000;0,700000;50;TRUE;180;1,000000;180,000000;2360,400000
0,010000;0,700000;50;FALSE;180;1,000000;180,000000;2300,700000
0,010000;0,700000;80;TRUE;180;1,000000;180,000000;2608,800000
0,010000;0,700000;80;FALSE;180;1,000000;180,000000;2644,800000
0,010000;0,700000;100;TRUE;180;1,000000;180,000000;3132,300000
0,010000;0,700000;100;FALSE;180;1,000000;180,000000;3031,200000
0,010000;0,800000;40;TRUE;180;1,000000;180,000000;2039,600000
0,010000;0,800000;40;FALSE;180;1,000000;180,000000;2146,100000
0,010000;0,800000;50;TRUE;180;1,000000;180,000000;2146,000000
0,010000;0,800000;50;FALSE;180;1,000000;180,000000;2354,900000
0,010000;0,800000;80;TRUE;180;1,000000;180,000000;2499,800000
0,010000;0,800000;80;FALSE;180;1,000000;180,000000;2924,100000
0,010000;0,800000;100;TRUE;180;1,000000;180,000000;2933,400000
0,010000;0,800000;100;FALSE;180;1,000000;180,000000;2888,500000
0,010000;0,900000;40;TRUE;180;1,000000;180,000000;1885,600000
0,010000;0,900000;40;FALSE;180;1,000000;180,000000;2000,200000
0,010000;0,900000;50;TRUE;180;1,000000;180,000000;2251,600000
0,010000;0,900000;50;FALSE;180;1,000000;180,000000;2324,600000
0,010000;0,900000;80;TRUE;180;1,000000;180,000000;2517,800000
0,010000;0,900000;80;FALSE;180;1,000000;180,000000;2603,500000
0,010000;0,900000;100;TRUE;180;1,000000;180,000000;3012,600000
0,010000;0,900000;100;FALSE;180;1,000000;180,000000;2846,900000
0,020000;0,700000;40;TRUE;180;1,000000;180,000000;5709,300000
0,020000;0,700000;40;FALSE;180;1,000000;180,000000;4367,700000
0,020000;0,700000;50;TRUE;180;1,000000;180,000000;5625,300000
0,020000;0,700000;50;FALSE;180;1,000000;180,000000;5091,100000
0,020000;0,700000;80;TRUE;180;1,000000;180,000000;5721,600000
0,020000;0,700000;80;FALSE;180;1,000000;180,000000;6352,000000
0,020000;0,700000;100;TRUE;180;1,000000;180,000000;6419,900000
0,020000;0,700000;100;FALSE;180;1,000000;180,000000;6035,700000
0,020000;0,800000;40;TRUE;180;1,000000;180,000000;5130,500000
0,020000;0,800000;40;FALSE;180;1,000000;180,000000;6001,600000
0,020000;0,800000;50;TRUE;180;1,000000;180,000000;5604,600000
0,020000;0,800000;50;FALSE;180;1,000000;180,000000;5937,000000
0,020000;0,800000;80;TRUE;180;1,000000;180,000000;5472,100000
0,020000;0,800000;80;FALSE;180;1,000000;180,000000;5534,000000
0,020000;0,800000;100;TRUE;180;1,000000;180,000000;6377,200000
0,020000;0,800000;100;FALSE;180;1,000000;180,000000;6020,300000
0,020000;0,900000;40;TRUE;180;1,000000;180,000000;5100,800000
0,020000;0,900000;40;FALSE;180;1,000000;180,000000;5079,700000
0,020000;0,900000;50;TRUE;180;1,000000;180,000000;5228,600000
0,020000;0,900000;50;FALSE;180;1,000000;180,000000;5538,500000
0,020000;0,900000;80;TRUE;180;1,000000;180,000000;5506,100000
0,020000;0,900000;80;FALSE;180;1,000000;180,000000;5487,700000
0,020000;0,900000;100;TRUE;180;1,000000;180,000000;6263,500000
0,020000;0,900000;100;FALSE;180;1,000000;180,000000;5388,500000
0,030000;0,700000;40;TRUE;180;1,000000;180,000000;16219,400000
0,030000;0,700000;40;FALSE;180;1,000000;180,000000;23423,500000
0,030000;0,700000;50;TRUE;180;1,000000;180,000000;16323,400000
0,030000;0,700000;50;FALSE;180;1,000000;180,000000;16003,700000
0,030000;0,700000;80;TRUE;180;1,000000;180,000000;14978,500000
0,030000;0,700000;80;FALSE;180;1,000000;180,000000;18631,800000
0,030000;0,700000;100;TRUE;180;1,000000;180,000000;15855,200000
0,030000;0,700000;100;FALSE;180;1,000000;180,000000;17829,800000
0,030000;0,800000;40;TRUE;180;1,000000;180,000000;19215,300000
0,030000;0,800000;40;FALSE;180;1,000000;180,000000;14966,300000
0,030000;0,800000;50;TRUE;180;1,000000;180,000000;15216,800000
0,030000;0,800000;50;FALSE;180;1,000000;180,000000;18206,400000
0,030000;0,800000;80;TRUE;180;1,000000;180,000000;14161,900000
0,030000;0,800000;80;FALSE;180;1,000000;180,000000;19403,000000
0,030000;0,800000;100;TRUE;180;1,000000;180,000000;17805,600000
0,030000;0,800000;100;FALSE;180;1,000000;180,000000;16047,700000
0,030000;0,900000;40;TRUE;180;1,000000;180,000000;19025,900000
0,030000;0,900000;40;FALSE;180;1,000000;180,000000;20587,600000
0,030000;0,900000;50;TRUE;180;1,000000;180,000000;12976,700000
0,030000;0,900000;50;FALSE;180;1,000000;180,000000;19068,000000
0,030000;0,900000;80;TRUE;180;1,000000;180,000000;16662,100000
0,030000;0,900000;80;FALSE;180;1,000000;180,000000;17388,200000
0,030000;0,900000;100;TRUE;180;1,000000;180,000000;17540,600000
0,030000;0,900000;100;FALSE;180;1,000000;180,000000;19062,000000
0,040000;0,700000;40;TRUE;180;1,000000;180,000000;49556,200000
0,040000;0,700000;40;FALSE;180;1,000000;180,000000;73395,700000
0,040000;0,700000;50;TRUE;180;1,000000;180,000000;61437,700000
0,040000;0,700000;50;FALSE;180;1,000000;180,000000;70041,700000
0,040000;0,700000;80;TRUE;180;1,000000;180,000000;55773,400000
0,040000;0,700000;80;FALSE;180;1,000000;180,000000;92381,400000
0,040000;0,700000;100;TRUE;180;1,000000;180,000000;65029,200000
0,040000;0,700000;100;FALSE;180;1,000000;180,000000;72711,800000
0,040000;0,800000;40;TRUE;180;1,000000;180,000000;55360,800000
0,040000;0,800000;40;FALSE;180;1,000000;180,000000;60844,600000
0,040000;0,800000;50;TRUE;180;1,000000;180,000000;65237,300000
0,040000;0,800000;50;FALSE;180;1,000000;180,000000;51424,000000
0,040000;0,800000;80;TRUE;180;1,000000;180,000000;65628,700000
0,040000;0,800000;80;FALSE;180;1,000000;180,000000;66716,300000
0,040000;0,800000;100;TRUE;180;1,000000;180,000000;62669,700000
0,040000;0,800000;100;FALSE;180;1,000000;180,000000;68437,300000
0,040000;0,900000;40;TRUE;180;1,000000;180,000000;63339,900000
0,040000;0,900000;40;FALSE;180;1,000000;180,000000;72160,800000
0,040000;0,900000;50;TRUE;180;1,000000;180,000000;56752,200000
0,040000;0,900000;50;FALSE;180;1,000000;180,000000;74930,100000
0,040000;0,900000;80;TRUE;180;1,000000;180,000000;58765,800000
0,040000;0,900000;80;FALSE;180;1,000000;180,000000;79129,100000
0,040000;0,900000;100;TRUE;180;1,000000;180,000000;57277,100000
0,040000;0,900000;100;FALSE;180;1,000000;180,000000;66169,800000
0,050000;0,700000;40;TRUE;180;1,000000;180,000000;208725,800000
0,050000;0,700000;40;FALSE;180;0,900000;179,800000;226820,200000
0,050000;0,700000;50;TRUE;180;1,000000;180,000000;206521,700000
