MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,000500;0,600000;50;FALSE;30;1,000000;30,000000;1554,000000
0,005000;0,600000;50;TRUE;30;1,000000;30,000000;459,000000
0,000500;0,600000;50;TRUE;30;1,000000;30,000000;1437,000000
0,005000;0,600000;50;FALSE;30;1,000000;30,000000;673,000000
0,005000;0,600000;50;TRUE;230;1,000000;230,000000;3347,000000
0,005000;0,600000;50;FALSE;230;1,000000;230,000000;3641,000000
0,000500;0,600000;50;TRUE;230;1,000000;230,000000;4722,000000
0,000500;0,600000;50;FALSE;230;1,000000;230,000000;5377,000000
0,005000;0,600000;50;TRUE;430;1,000000;430,000000;6148,000000
0,005000;0,600000;50;FALSE;430;1,000000;430,000000;7707,000000
0,000500;0,600000;50;FALSE;430;1,000000;430,000000;9410,000000
0,000500;0,600000;50;FALSE;630;1,000000;630,000000;9815,000000
0,000500;0,600000;50;TRUE;430;1,000000;430,000000;12485,000000
0,000500;0,600000;50;TRUE;630;1,000000;630,000000;10869,000000
0,000500;0,600000;50;TRUE;830;1,000000;830,000000;11967,000000
0,000500;0,600000;50;FALSE;830;1,000000;830,000000;15698,000000
0,005000;0,600000;50;TRUE;630;1,000000;630,000000;24315,000000
0,000500;0,600000;50;TRUE;1030;1,000000;1030,000000;15743,000000
0,005000;0,600000;50;FALSE;630;1,000000;630,000000;28063,000000
0,000500;0,600000;50;FALSE;1030;1,000000;1030,000000;17301,000000
0,000500;0,600000;50;FALSE;1230;1,000000;1230,000000;17519,000000
0,000500;0,600000;50;TRUE;1230;1,000000;1230,000000;19252,000000
0,005000;0,600000;50;FALSE;830;1,000000;830,000000;45052,000000
0,005000;0,600000;50;TRUE;830;1,000000;830,000000;49796,000000
0,005000;0,600000;50;TRUE;1030;1,000000;1030,000000;90092,000000
0,005000;0,600000;50;FALSE;1030;1,000000;1030,000000;218160,000000
0,005000;0,600000;50;FALSE;1230;1,000000;1230,000000;263083,000000
0,005000;0,600000;50;TRUE;1230;1,000000;1230,000000;269475,000000
