MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,005000;0,600000;50;TRUE;30;1,000000;30,000000;564,000000
0,000500;0,600000;50;TRUE;30;1,000000;30,000000;1738,000000
0,005000;0,600000;50;TRUE;230;1,000000;230,000000;2460,000000
0,000500;0,600000;50;TRUE;230;1,000000;230,000000;5940,000000
0,005000;0,600000;50;TRUE;430;1,000000;430,000000;8699,000000
0,000500;0,600000;50;TRUE;430;1,000000;430,000000;9686,000000
0,000500;0,600000;50;TRUE;630;1,000000;630,000000;10345,000000
0,000500;0,600000;50;TRUE;830;1,000000;830,000000;14176,000000
0,005000;0,600000;50;TRUE;630;1,000000;630,000000;21812,000000
0,000500;0,600000;50;TRUE;1030;1,000000;1030,000000;16241,000000
0,000500;0,600000;50;TRUE;1230;1,000000;1230,000000;17948,000000
0,005000;0,600000;50;TRUE;830;1,000000;830,000000;85347,000000
0,005000;0,600000;50;TRUE;1030;1,000000;1030,000000;147677,000000
0,005000;0,600000;50;TRUE;1230;1,000000;1230,000000;251700,000000
