MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,005000;0,700000;10;TRUE;400;1,000000;400,000000;5114,300000
0,005000;0,700000;10;TRUE;450;1,000000;450,000000;6722,833333
0,005000;0,700000;10;TRUE;500;1,000000;500,000000;8309,233333
0,005000;0,700000;10;TRUE;550;1,000000;550,000000;11820,500000
0,005000;0,700000;10;TRUE;600;1,000000;600,000000;16966,666667
0,005000;0,700000;10;TRUE;650;1,000000;650,000000;21748,500000
0,005000;0,700000;10;TRUE;700;1,000000;700,000000;32105,733333
0,005000;0,700000;10;TRUE;750;1,000000;750,000000;45700,233333
0,005000;0,700000;10;TRUE;800;1,000000;800,000000;83106,100000
0,005000;0,700000;10;TRUE;850;1,000000;850,000000;127714,366667
