MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,001000;0,600000;10;TRUE;1000;1,000000;1000,000000;9150,900000
0,001000;0,700000;10;TRUE;2000;1,000000;2000,000000;31109,400000
0,001000;0,900000;10;TRUE;2000;1,000000;2000,000000;31224,000000
0,001000;0,600000;100;TRUE;1000;1,000000;1000,000000;18493,500000
0,001000;0,600000;50;TRUE;1000;1,000000;1000,000000;14177,300000
0,001000;0,700000;100;TRUE;1000;1,000000;1000,000000;18309,600000
0,001000;0,600000;10;TRUE;3000;1,000000;3000,000000;130177,300000
0,001000;0,700000;50;TRUE;1000;1,000000;1000,000000;14440,900000
0,001000;0,900000;100;TRUE;1000;1,000000;1000,000000;18149,000000
0,005000;0,900000;10;TRUE;1000;0,200000;997,600000;81597,700000
0,001000;0,900000;100;TRUE;2000;1,000000;2000,000000;45477,600000
0,005000;0,700000;100;TRUE;1000;1,000000;1000,000000;128550,900000
0,001000;0,900000;50;TRUE;2000;1,000000;2000,000000;42238,700000
0,001000;0,700000;50;TRUE;3000;1,000000;3000,000000;111419,400000
0,001000;0,900000;50;TRUE;3000;1,000000;3000,000000;116352,500000
0,005000;0,600000;50;TRUE;1000;1,000000;1000,000000;120626,900000
0,005000;0,600000;100;TRUE;1000;1,000000;1000,000000;113448,900000
0,001000;0,700000;10;TRUE;3000;1,000000;3000,000000;161393,900000
0,001000;0,900000;50;TRUE;1000;1,000000;1000,000000;13128,700000
0,001000;0,900000;10;TRUE;1000;1,000000;1000,000000;9766,100000
0,001000;0,600000;100;TRUE;2000;1,000000;2000,000000;53395,900000
0,005000;0,600000;10;TRUE;1000;0,200000;997,700000;68808,500000
0,010000;0,600000;10;TRUE;2000;0,000000;1667,600000;0,000000
0,001000;0,600000;50;TRUE;2000;1,000000;2000,000000;42277,900000
0,010000;0,700000;10;TRUE;1000;0,000000;935,200000;0,000000
0,005000;0,900000;100;TRUE;1000;1,000000;1000,000000;140866,600000
0,001000;0,700000;10;TRUE;1000;1,000000;1000,000000;9229,400000
0,005000;0,700000;50;TRUE;1000;1,000000;1000,000000;122198,800000
0,001000;0,900000;100;TRUE;3000;1,000000;3000,000000;123335,000000
0,005000;0,900000;50;TRUE;1000;1,000000;1000,000000;125425,000000
0,001000;0,700000;100;TRUE;3000;1,000000;3000,000000;129780,700000
0,005000;0,700000;10;TRUE;1000;0,000000;996,900000;0,000000
0,005000;0,600000;10;TRUE;3000;0,000000;2612,700000;0,000000
0,010000;0,600000;10;TRUE;1000;0,000000;937,000000;0,000000
0,010000;0,700000;10;TRUE;3000;0,000000;2328,500000;0,000000
0,001000;0,700000;100;TRUE;2000;1,000000;2000,000000;45187,200000
0,001000;0,600000;10;TRUE;2000;1,000000;2000,000000;37215,400000
0,010000;0,900000;10;TRUE;3000;0,000000;2322,600000;0,000000
0,001000;0,700000;50;TRUE;2000;1,000000;2000,000000;40818,800000
0,001000;0,600000;100;TRUE;3000;1,000000;3000,000000;133505,300000
0,005000;0,700000;10;TRUE;2000;0,000000;1857,500000;0,000000
0,010000;0,900000;10;TRUE;1000;0,000000;929,200000;0,000000
0,001000;0,900000;10;TRUE;3000;1,000000;3000,000000;161810,500000
0,010000;0,700000;10;TRUE;2000;0,000000;1665,300000;0,000000
0,001000;0,600000;50;TRUE;3000;1,000000;3000,000000;101083,400000
0,010000;0,900000;10;TRUE;2000;0,000000;1662,500000;0,000000
0,005000;0,900000;10;TRUE;3000;0,000000;2594,600000;0,000000
0,010000;0,600000;50;TRUE;1000;0,000000;990,000000;0,000000
0,010000;0,700000;50;TRUE;1000;0,000000;989,300000;0,000000
