MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,005000;0,700000;20;TRUE;300;1,000000;300,000000;3016,033333
0,005000;0,700000;20;TRUE;310;1,000000;310,000000;3278,900000
0,005000;0,700000;30;TRUE;300;1,000000;300,000000;3402,300000
0,005000;0,700000;30;TRUE;310;1,000000;310,000000;3438,966667
0,005000;0,700000;40;TRUE;300;1,000000;300,000000;3490,133333
0,005000;0,700000;40;TRUE;310;1,000000;310,000000;3629,066667
0,005000;0,700000;60;TRUE;300;1,000000;300,000000;4262,866667
0,005000;0,700000;60;TRUE;310;1,000000;310,000000;4369,833333
0,005000;0,700000;80;TRUE;300;1,000000;300,000000;4559,200000
0,005000;0,700000;80;TRUE;310;1,000000;310,000000;4779,200000
0,005000;0,700000;100;TRUE;300;1,000000;300,000000;5097,700000
0,005000;0,700000;100;TRUE;310;1,000000;310,000000;5386,266667
