MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,005000;0,700000;20;TRUE;100;1,000000;100,000000;853,733333
0,005000;0,700000;20;TRUE;140;1,000000;140,000000;1056,866667
0,005000;0,700000;30;TRUE;100;1,000000;100,000000;933,133333
0,005000;0,700000;40;TRUE;100;1,000000;100,000000;1051,033333
0,005000;0,700000;30;TRUE;120;1,000000;120,000000;1172,666667
0,005000;0,700000;20;TRUE;120;1,000000;120,000000;989,566667
0,005000;0,700000;20;TRUE;180;1,000000;180,000000;1486,833333
0,005000;0,700000;30;TRUE;140;1,000000;140,000000;1302,200000
0,005000;0,700000;40;TRUE;120;1,000000;120,000000;1283,600000
0,005000;0,700000;30;TRUE;160;1,000000;160,000000;1435,400000
0,005000;0,700000;20;TRUE;160;1,000000;160,000000;1338,333333
0,005000;0,700000;30;TRUE;180;1,000000;180,000000;1651,000000
0,005000;0,700000;40;TRUE;140;1,000000;140,000000;1413,833333
0,005000;0,700000;60;TRUE;100;1,000000;100,000000;1242,333333
0,005000;0,700000;60;TRUE;120;1,000000;120,000000;1431,300000
0,005000;0,700000;80;TRUE;100;1,000000;100,000000;1467,200000
0,005000;0,700000;60;TRUE;140;1,000000;140,000000;1653,566667
0,005000;0,700000;40;TRUE;180;1,000000;180,000000;1880,633333
0,005000;0,700000;40;TRUE;160;1,000000;160,000000;1555,000000
0,005000;0,700000;80;TRUE;120;1,000000;120,000000;1661,700000
0,005000;0,700000;60;TRUE;160;1,000000;160,000000;1929,633333
0,005000;0,700000;100;TRUE;100;1,000000;100,000000;1449,966667
0,005000;0,700000;80;TRUE;140;1,000000;140,000000;1976,066667
0,005000;0,700000;100;TRUE;120;1,000000;120,000000;1906,266667
0,005000;0,700000;60;TRUE;180;1,000000;180,000000;2186,600000
0,005000;0,700000;80;TRUE;160;1,000000;160,000000;2222,933333
0,005000;0,700000;100;TRUE;140;1,000000;140,000000;2189,433333
0,005000;0,700000;80;TRUE;180;1,000000;180,000000;2544,566667
0,005000;0,700000;100;TRUE;160;1,000000;160,000000;2347,100000
0,005000;0,700000;100;TRUE;180;1,000000;180,000000;2726,000000
