MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,005000;0,700000;5;TRUE;100;1,000000;100,000000;736,700000
0,005000;0,700000;5;TRUE;140;1,000000;140,000000;839,933333
0,005000;0,700000;5;TRUE;120;1,000000;120,000000;869,600000
0,005000;0,700000;10;TRUE;100;1,000000;100,000000;705,066667
0,005000;0,700000;5;TRUE;160;1,000000;160,000000;1068,400000
0,005000;0,700000;10;TRUE;120;1,000000;120,000000;834,666667
0,005000;0,700000;10;TRUE;140;1,000000;140,000000;932,700000
0,005000;0,700000;5;TRUE;180;1,000000;180,000000;1290,133333
0,005000;0,700000;10;TRUE;160;1,000000;160,000000;1075,466667
0,005000;0,700000;5;TRUE;200;1,000000;200,000000;1529,666667
0,005000;0,700000;10;TRUE;180;1,000000;180,000000;1296,600000
0,005000;0,700000;5;TRUE;220;1,000000;220,000000;2026,533333
0,005000;0,700000;5;TRUE;240;1,000000;240,000000;2221,566667
0,005000;0,700000;10;TRUE;200;1,000000;200,000000;1429,000000
0,005000;0,700000;10;TRUE;220;1,000000;220,000000;1649,100000
0,005000;0,700000;10;TRUE;240;1,000000;240,000000;1813,400000
0,005000;0,700000;10;TRUE;260;1,000000;260,000000;2297,033333
0,005000;0,700000;10;TRUE;280;1,000000;280,000000;2260,933333
0,005000;0,700000;5;TRUE;260;1,000000;260,000000;3967,666667
0,005000;0,700000;10;TRUE;300;1,000000;300,000000;2550,866667
0,005000;0,700000;5;TRUE;280;1,000000;280,000000;7061,633333
0,005000;0,700000;5;TRUE;300;1,000000;300,000000;19468,400000
